site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Virginia,Altair,1,,,109,103,917,191,1704.7,81,,43,,93.1,,,,,,,,,,,,,,,,,,,
Virginia,Altair,2,,,205,156,1389,301,2686.4,77,,71,,122.8,,,,,,,,,,,,,,,,,,,
Virginia,Altair,3,,,313,110,980,235.5,2101.8,64,,69,,89.7,,,,,,,,,,,,,,,,,,,
Virginia,Altair,4,,,413,85,757,252,2249.1,40,,30,,127,,,,,,,,,,,,,,,,,,,
Virginia,Anka,1,,,103,122.5,1091,193.5,1727,101,,71,,104.1,,,,,,,,,,,,,,,,,,,
Virginia,Anka,2,,,202,126.5,1127,227,2026,78,,48,,101.6,,,,,,,,,,,,,,,,,,,
Virginia,Anka,3,,,301,187.5,1670,309.5,2762.3,86,,44,,115.1,,,,,,,,,,,,,,,,,,,
Virginia,Anka,4,,,405,151.5,1349,312,2784.6,58,,60,,129.5,,,,,,,,,,,,,,,,,,,
Virginia,Bialobrzeskie,1,,,105,87,775,163,1454.8,32,,17,,109.2,,,,,,,,,,,,,,,,,,,
Virginia,Bialobrzeskie,2,,,203,71.5,637,157.5,1405.7,42,,21,,116,,,,,,,,,,,,,,,,,,,
Virginia,Bialobrzeskie,3,,,308,90,802,259,2311.6,43,,19,,119.4,,,,,,,,,,,,,,,,,,,
Virginia,Bialobrzeskie,4,,,408,83.5,744,236,2106.3,36,,23,,133.8,,,,,,,,,,,,,,,,,,,
Virginia,CFX-1,1,,,111,95,846,79.5,709.5,65,,45,,62.7,,,,,,,,,,,,,,,,,,,
Virginia,CFX-1,2,,,207,92,819,84.5,754.2,60,,46,,55.9,,,,,,,,,,,,,,,,,,,
Virginia,CFX-1,3,,,303,94.5,842,81,722.9,80,,49,,61,,,,,,,,,,,,,,,,,,,
Virginia,CFX-1,4,,,407,127,1131,111,990.7,29,,26,,72.8,,,,,,,,,,,,,,,,,,,
Virginia,CRS-1,1,,,107,104.5,931,108.5,968.4,66,,62,,73.7,,,,,,,,,,,,,,,,,,,
Virginia,CRS-1,2,,,201,143,1274,147.5,1316.4,78,,58,,88.1,,,,,,,,,,,,,,,,,,,
Virginia,CRS-1,3,,,312,164,1461,187.5,1673.4,67,,59,,108.4,,,,,,,,,,,,,,,,,,,
Virginia,CRS-1,4,,,403,107.5,958,106,946.1,68,,46,,76.2,,,,,,,,,,,,,,,,,,,
Virginia,Henola,1,,,106,117,1042,193.5,1727,96,,61,,92.3,,,,,,,,,,,,,,,,,,,
Virginia,Henola,2,,,212,139,1238,208,1856.4,76,,89,,72.8,,,,,,,,,,,,,,,,,,,
