site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
cornell,altair,1,,,107,165.6,1478,293.9,2623,181.5,1935.1,181.5,734848,136.7,,,,,,,,,,,,,,,,,,,
cornell,altair,2,,,212,138.1,1233,346.3,3091,180.0,,180.0,728620,134.0,,,,,,,,,,,,,,,,,,,
cornell,altair,3,,,310,190.2,1697,366.4,3270,132.3,,132.3,535567,151.0,,,,,,,,,,,,,,,,,,,
cornell,altair,4,,,411,171.7,1533,333.6,2977,135.4,,135.4,548022,142.0,,,,,,,,,,,,,,,,,,,
cornell,anka,1,,,108,166.8,1489,321.7,2871,169.2,,169.2,685028,142.3,,,,,,,,,,,,,,,,,,,
cornell,anka,2,,,206,168.9,1507,533.2,4759,195.4,,195.4,790896,161.0,,,,,,,,,,,,,,,,,,,
cornell,anka,3,,,312,152.0,1357,320.5,2860,187.7,,187.7,759758,152.7,,,,,,,,,,,,,,,,,,,
cornell,anka,4,,,413,164.8,1470,266.8,2381,155.4,,155.4,628980,145.3,,,,,,,,,,,,,,,,,,,
cornell,bialobrzeskie,1,,,104,146.7,1309,163.1,1456,96.9,,96.9,392334,119.7,,,,,,,,,,,,,,,,,,,
cornell,bialobrzeskie,2,,,208,179.9,1606,259.4,2315,84.6,,84.6,342514,151.0,,,,,,,,,,,,,,,,,,,
cornell,bialobrzeskie,3,,,304,114.8,1024,237.3,2118,98.5,,98.5,398562,141.7,,,,,,,,,,,,,,,,,,,
cornell,bialobrzeskie,4,,,408,159.0,1419,407.0,3632,150.8,,150.8,610297,157.7,,,,,,,,,,,,,,,,,,,
cornell,cfx1,1,,,103,83.2,743,76.2,680,155.4,,155.4,628980,66.0,,,,,,,,,,,,,,,,,,,
cornell,cfx1,2,,,204,110.2,984,91.4,816,124.6,,124.6,504430,78.0,,,,,,,,,,,,,,,,,,,
cornell,cfx1,3,,,313,110.7,988,91.0,812,143.1,,143.1,579160,86.3,,,,,,,,,,,,,,,,,,,
cornell,cfx1,4,,,410,182.4,1628,141.8,1266,113.8,,113.8,460837,86.3,,,,,,,,,,,,,,,,,,,
cornell,crs1,1,,,110,175.0,1562,166.8,1489,132.3,,132.3,535567,100.3,,,,,,,,,,,,,,,,,,,
cornell,crs1,2,,,210,161.1,1438,169.7,1514,120.0,,120.0,485747,115.3,,,,,,,,,,,,,,,,,,,
cornell,crs1,3,,,306,179.1,1598,200.0,1785,143.1,,143.1,579160,114.7,,,,,,,,,,,,,,,,,,,
cornell,crs1,4,,,407,204.9,1829,232.8,2078,104.6,,104.6,423472,119.0,,,,,,,,,,,,,,,,,,,
cornell,henola,1,,,106,202.0,1803,359.0,3204,178.4,,178.4,722393,108.7,,,,,,,,,,,,,,,,,,,
cornell,henola,2,,,209,195.5,1745,345.9,3087,187.7,,187.7,759758,121.0,,,,,,,,,,,,,,,,,,,
cornell,henola,3,,,303,135.7,1211,213.1,1902,201.5,,201.5,815806,112.0,,,,,,,,,,,,,,,,,,,
cornell,henola,4,,,402,170.5,1522,238.5,2129,166.1,,166.1,672573,116.3,,,,,,,,,,,,,,,,,,,
cornell,hlesia,1,,,101,96.3,860,289.3,2582,195.4,,195.4,790896,107.0,,,,,,,,,,,,,,,,,,,
cornell,hlesia,2,,,201,77.0,688,232.0,2070,210.7,,210.7,853171,107.3,,,,,,,,,,,,,,,,,,,
cornell,hlesia,3,,,302,77.5,691,283.2,2528,204.6,,204.6,828261,120.7,,,,,,,,,,,,,,,,,,,
cornell,hlesia,4,,,412,123.0,1097,261.9,2337,180.0,,180.0,728620,128.3,,,,,,,,,,,,,,,,,,,
cornell,hliana,1,,,112,99.6,889,178.7,1595,113.8,,113.8,460837,115.7,,,,,,,,,,,,,,,,,,,
cornell,hliana,2,,,207,65.2,582,206.1,1840,115.4,,115.4,467064,140.3,,,,,,,,,,,,,,,,,,,
cornell,hliana,3,,,307,62.7,560,206.6,1844,109.2,,109.2,442154,133.0,,,,,,,,,,,,,,,,,,,
cornell,hliana,4,,,409,89.8,801,262.3,2341,67.7,,67.7,274011,162.7,,,,,,,,,,,,,,,,,,,
cornell,hlukauskii51,1,,,105,82.8,739,270.5,2414,180.0,,180.0,728620,123.3,,,,,,,,,,,,,,,,,,,
cornell,hlukauskii51,2,,,213,70.9,633,323.4,2886,215.4,,215.4,871853,125.7,,,,,,,,,,,,,,,,,,,
cornell,hlukauskii51,3,,,309,75.0,669,400.4,3574,135.4,,135.4,548022,146.7,,,,,,,,,,,,,,,,,,,
cornell,hlukauskii51,4,,,404,89.8,801,380.3,3394,210.7,,210.7,853171,135.3,,,,,,,,,,,,,,,,,,,
cornell,katani,1,,,102,78.7,702,66.4,593,170.8,,170.8,691255,50.7,,,,,,,,,,,,,,,,,,,
cornell,katani,2,,,211,93.0,830,66.4,593,190.7,,190.7,772213,75.3,,,,,,,,,,,,,,,,,,,
cornell,katani,3,,,311,98.0,874,70.5,629,172.3,,172.3,697483,83.7,,,,,,,,,,,,,,,,,,,
cornell,katani,4,,,406,93.0,830,82.4,735,124.6,,124.6,504430,79.0,,,,,,,,,,,,,,,,,,,
cornell,nwg2730,1,,,111,159.8,1427,463.1,4133,116.9,,116.9,473292,157.0,,,,,,,,,,,,,,,,,,,
cornell,nwg2730,2,,,205,104.5,933,441.0,3936,141.5,,141.5,572932,168.0,,,,,,,,,,,,,,,,,,,
cornell,nwg2730,3,,,308,172.1,1536,530.7,4737,101.5,,101.5,411017,179.7,,,,,,,,,,,,,,,,,,,
cornell,nwg2730,4,,,401,106.6,951,451.6,4031,150.8,,150.8,610297,149.7,,,,,,,,,,,,,,,,,,,
cornell,nwg452,1,,,113,153.7,1372,276.2,2465,198.4,,198.4,803351,138.7,,,,,,,,,,,,,,,,,,,
cornell,nwg452,2,,,202,115.6,1032,281.6,2513,230.7,,230.7,934129,135.3,,,,,,,,,,,,,,,,,,,
cornell,nwg452,3,,,305,107.4,958,293.9,2623,524.6,,524.6,2123586,172.0,,,,,,,,,,,,,,,,,,,
cornell,nwg452,4,,,403,120.5,1075,316.0,2820,207.7,,207.7,840716,154.0,,,,,,,,,,,,,,,,,,,
cornell,x59,1,,,109,178.3,1591,91.8,819,86.1,,86.1,348741,78.3,,,,,,,,,,,,,,,,,,,
cornell,x59,2,,,203,104.9,936,86.1,768,87.7,,87.7,354969,83.7,,,,,,,,,,,,,,,,,,,
cornell,x59,3,,,301,69.3,618,65.6,585,95.4,,95.4,386107,73.3,,,,,,,,,,,,,,,,,,,
cornell,x59,4,,,405,159.4,1423,138.9,1240,69.2,,69.2,280239,107.7,,,,,,,,,,,,,,,,,,,
kansas_lexington,altair,1,,,,12.8,87.433542,102.39,690.4573281,,,30,121405.6926,,,,,,,,,,,,,,,,,,,,
kansas_lexington,altair,1,,,,23.76,185.2163604,123.3,877.011957,,,27,109265.1233,,,,,,,,,,,,,,,,,,,,
kansas_lexington,altair,1,,,,15.56,112.0576824,87.19,554.8461201,,,19,76890.27198,,,,,,,,,,,,,,,,,,,,
kansas_lexington,altair,1,,,,12,80.29611,82.02,508.7204658,,,28,113311.9798,,,,,,,,,,,,,,,,,,,,
kansas_lexington,altair,2,,,,11.55,76.2813045,110.08,759.0658932,,,22,89030.84124,,,,,,,,,,,,,,,,,,,,
kansas_lexington,altair,2,,,,21.22,162.5550138,117.79,827.8528941,,,18,72843.41556,,,,,,,,,,,,,,,,,,,,
kansas_lexington,altair,2,,,,14.57,103.2251103,84.5,530.846505,,,20,80937.1284,,,,,,,,,,,,,,,,,,,,
kansas_lexington,altair,2,,,,10.53,67.1810787,117.57,825.8901003,,,37,149733.6875,,,,,,,,,,,,,,,,,,,,
