site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore,
Tennessee,Altair,1,1,,,31.2,278.1,32.8,292.4,121,491606,26,105219,68.2,7.0,3.9,0.4,36,36,,,,,,0,,,,,,,,,
Tennessee,Anka,1,2,,,26.8,238.9,48.0,427.9,129,522720,42,169969,83.7,6.1,3.2,0.3,34,34,,,,,,0,,,,,,,,,
Tennessee,Bialobrzeskie,1,3,,,30.2,269.2,42.0,374.4,332,1344137,40,161875,75.1,8.9,2.5,0.3,36,36,,,,,,0,,,,,,,,,
Tennessee,CFX-1,1,4,,,21.0,187.2,18.2,162.2,212,858754,42,169968,49.5,3.7,2.5,0.1,32,32,,,,,,0,,,,,,,,,
Tennessee,CFX-2,1,5,,,21.4,190.8,15.4,137.3,175,709406,42,169968,47.1,4.7,1.7,0.3,32,32,,,,,,0,,,,,,,,,
Tennessee,Grandi,1,6,,,18.0,160.4,15.2,135.5,211,852531,28,113313,31.0,3.7,1.7,0.5,32,32,,,,,,0,,,,,,,,,
Tennessee,H-51,1,7,,,20.0,178.3,33.6,299.5,209,846309,36,145688,70.0,7.8,3.0,0.5,34,34,,,,,,0,,,,,,,,,
Tennessee,Henola,1,8,,,25.8,230.0,29.6,263.8,151,609840,60,242812,47.8,5.3,2.4,0.5,36,36,,,,,,0,,,,,,,,,
Tennessee,Hlesia,1,9,,,22.0,196.1,28.4,253.2,94,379594,20,80937,72.3,9.0,3.0,0.8,36,36,,,,,,0,,,,,,,,,
Tennessee,Hliana,1,10,,,21.4,190.8,32.4,288.8,54,217800,24,97125,83.0,8.1,2.9,0.1,*,*,,,,,,0,,,,,,,,,
Tennessee,Lara,1,11,,,23.6,210.4,35.8,319.1,209,846309,28,113313,80.7,4.5,3.0,0.1,36,36,,,,,,0,,,,,,,,,
Tennessee,Vega,1,12,,,22.6,201.5,22.2,197.9,192,777857,40,161875,59.2,4.7,2.5,0.1,36,36,,,,,,0,,,,,,,,,
Tennessee,X-59,1,13,,,32.6,290.6,18.8,167.6,178,721851,32,129500,43.1,4.4,2.6,0.3,32,32,,,,,,0,,,,,,,,,
Tennessee,X-59,2,13,,,30.8,274.5,16.2,144.4,141,572503,32,129500,45.7,4.0,2.1,0.4,32,32,,,,,,0,,,,,,,,,
Tennessee,CFX-2,2,5,,,18.0,160.4,15.8,140.8,168,678291,32,129500,49.7,5.0,2.1,0.4,32,32,,,,,,0,,,,,,,,,
Tennessee,H-51,2,7,,,14.8,131.9,32.0,285.2,183,740520,50,202343,74.4,5.6,3.1,0.2,34,34,,,,,,0,,,,,,,,,
Tennessee,Hliana,2,10,,,11.0,98.1,13.8,123.0,23,93343,20,80937,58.9,9.3,2.5,0.3,36,36,,,,,,0,,,,,,,,,
Tennessee,Altair,2,1,,,14.6,130.1,26.2,233.5,194,784080,36,145687,65.3,6.4,2.8,0.3,34,34,,,,,,0,,,,,,,,,
Tennessee,Vega,2,12,,,12.5,111.4,16.8,149.8,158,640954,50,202343,49.5,7.4,1.7,0.2,36,36,,,,,,0,,,,,,,,,
